time,roll,pitch,yaw,rp_rpm,ry_rpm,err_p,err_y,mp_rpm,my_rpm
0.042,-0.0409,0.07,-0.0022,-0.43,0.0,-28.75,0.13,-307.0,85.0
0.113,-0.0453,0.0761,-0.0022,-0.42,0.0,-28.65,0.12,-663.8,12.9
0.184,-0.044,0.0756,-0.0022,-0.42,0.0,-28.18,0.13,-1019.0,16.3
0.255,-0.0527,0.0816,-0.0022,-0.41,0.0,-28.09,0.12,-1372.0,14.3
0.324,-0.0526,0.0706,-0.0022,-0.4,0.0,-27.02,0.12,-1448.4,15.6
0.395,-0.0533,0.0702,-0.0022,-0.39,0.0,-26.57,0.13,-1661.1,15.5
0.464,-0.0482,0.0729,-0.0022,-0.39,0.0,-26.3,0.13,-1730.9,16.3
0.535,-0.0512,0.0736,-0.0022,-0.38,0.0,-25.92,0.13,-1705.6,15.6
0.605,-0.0458,0.0781,-0.0022,-0.37,0.0,-25.76,0.13,-1787.2,16.4
0.675,-0.0443,0.0764,-0.0022,-0.36,0.0,-25.26,0.13,-1686.7,16.3
0.746,-0.0451,0.071,-0.0022,-0.36,0.0,-24.55,0.13,-1618.2,15.6
0.815,-0.0477,0.0603,-0.0022,-0.35,0.0,-23.56,0.13,-1508.2,16.6
0.886,-0.051,0.0608,-0.0022,-0.34,0.0,-23.2,0.13,-1726.5,15.1
0.957,-0.0518,0.0594,-0.0022,-0.34,0.0,-22.75,0.12,-1699.5,15.7
1.027,-0.0523,0.0632,-0.0022,-0.33,0.0,-22.61,0.12,-1804.0,16.3
1.097,-0.0574,0.0596,-0.0022,-0.33,0.0,-22.05,0.13,-1680.4,16.5
1.167,-0.0574,0.0558,-0.0022,-0.32,0.0,-21.5,0.13,-1680.6,16.8
1.237,-0.0567,0.0546,-0.0022,-0.31,0.0,-21.12,0.13,-1736.1,16.2
1.307,-0.0602,0.0471,-0.0022,-0.31,0.0,-20.38,0.13,-1619.1,16.8
1.376,-0.0461,0.0492,-0.0022,-0.3,0.0,-20.21,0.13,-1801.7,17.4
1.447,-0.0461,0.0508,-0.0022,-0.3,0.0,-20.02,0.13,-1807.2,16.0
1.517,-0.0403,0.0422,-0.0022,-0.29,0.0,-19.27,0.12,-1624.9,15.8
1.587,-0.0346,0.0359,-0.0022,-0.29,0.0,-18.66,0.13,-1666.3,17.4
1.658,-0.0383,0.0297,-0.0022,-0.29,0.0,-18.07,0.12,-1671.8,15.6
1.728,-0.0316,0.0213,-0.0022,-0.28,0.0,-17.38,0.13,-1626.7,18.0
1.797,-0.0437,0.0041,-0.0022,-0.28,0.0,-16.19,0.13,-1429.7,17.3
1.867,-0.0529,-0.0079,-0.0022,-0.28,0.0,-15.33,0.12,-1525.8,15.4
1.937,-0.0541,-0.0122,-0.0022,-0.27,0.0,-14.92,0.13,-1676.1,17.2
2.008,-0.0597,-0.026,-0.0022,-0.27,0.0,-13.98,0.13,-1481.4,16.9
2.078,-0.0638,-0.0416,-0.0022,-0.27,0.0,-12.97,0.12,-1425.2,15.8
2.148,-0.0597,-0.0641,-0.0021,-0.27,0.0,-11.57,0.12,-1232.2,15.7
2.218,-0.0545,-0.0873,-0.0022,-0.26,0.0,-10.16,0.12,-1170.7,17.3
2.288,-0.0503,-0.1065,-0.0021,-0.26,0.0,-8.99,0.12,-1228.4,16.0
2.358,-0.053,-0.1252,-0.0021,-0.26,0.0,-7.87,0.12,-1216.6,15.9
2.429,-0.057,-0.1487,-0.0021,-0.26,0.0,-6.49,0.12,-1039.4,17.0
2.499,-0.0521,-0.1704,-0.0021,-0.26,0.0,-5.24,0.12,-1031.9,14.8
2.569,-0.0497,-0.1905,-0.0021,-0.26,0.0,-4.1,0.12,-1042.0,16.4
2.639,-0.0471,-0.2132,-0.0021,-0.26,0.0,-2.82,0.12,-896.6,16.0
2.712,-0.0466,-0.2373,-0.0021,-0.26,0.0,-1.49,0.12,-812.8,16.1
2.783,-0.0495,-0.2584,-0.0021,-0.26,0.0,-0.35,0.12,-830.7,15.8
2.854,-0.052,-0.2802,-0.0021,-0.27,0.0,0.81,0.12,-734.6,15.4
2.925,-0.0569,-0.2992,-0.002,-0.27,0.0,1.79,0.12,-788.5,14.5
2.995,-0.0552,-0.3124,-0.002,-0.27,0.0,2.42,0.12,-941.4,15.4
3.066,-0.0524,-0.3238,-0.002,-0.27,0.0,2.92,0.12,-984.9,15.4
3.138,-0.0511,-0.3346,-0.002,-0.28,0.0,3.38,0.12,-984.5,14.3
3.207,-0.0539,-0.3455,-0.0021,-0.28,0.0,3.83,0.12,-942.9,16.9
3.275,-0.0578,-0.3494,-0.002,-0.28,0.0,3.86,0.12,-1150.0,13.9
3.346,-0.062,-0.3584,-0.002,-0.29,0.0,4.16,0.12,-1000.5,14.9
3.416,-0.0619,-0.3654,-0.002,-0.29,0.0,4.33,0.12,-1050.8,15.4
3.485,-0.0555,-0.3693,-0.002,-0.29,0.0,4.3,0.12,-1140.4,15.4
3.557,-0.0557,-0.3602,-0.0021,-0.3,0.0,3.51,0.12,-1468.2,15.2
3.63,-0.0611,-0.357,-0.002,-0.3,0.0,3.04,0.12,-1366.7,12.9
3.7,-0.0494,-0.3484,-0.002,-0.31,0.0,2.25,0.12,-1514.4,13.9
3.771,-0.0472,-0.3384,-0.002,-0.31,0.0,1.37,0.12,-1576.1,14.4
3.84,-0.0439,-0.3276,-0.0021,-0.32,0.0,0.43,0.12,-1629.3,15.0
3.906,-0.0416,-0.3118,-0.0021,-0.33,0.0,-0.79,0.12,-1775.9,14.2
3.973,-0.0443,-0.3094,-0.002,-0.33,0.0,-1.26,0.12,-1536.9,14.1
4.039,-0.0397,-0.2963,-0.002,-0.34,0.0,-2.35,0.11,-1783.7,12.9
4.106,-0.0396,-0.2845,-0.0021,-0.34,0.0,-3.38,0.12,-1795.3,17.3
4.173,-0.0542,-0.2734,-0.0021,-0.35,0.0,-4.37,0.12,-1819.3,15.2
4.239,-0.0684,-0.2652,-0.002,-0.36,0.0,-5.2,0.12,-1801.1,13.3
4.305,-0.0723,-0.2542,-0.0021,-0.36,0.0,-6.21,0.12,-1884.5,15.9
4.371,-0.0628,-0.24,-0.0021,-0.37,0.0,-7.4,0.12,-1977.4,14.9
4.437,-0.0429,-0.2313,-0.0021,-0.38,0.0,-8.28,0.12,-1918.3,16.7
4.503,-0.0433,-0.2268,-0.0021,-0.38,0.0,-8.93,0.12,-1875.0,16.0
4.57,-0.0296,-0.2106,-0.0021,-0.39,0.0,-10.26,0.12,-2000.0,14.8
4.636,-0.0427,-0.2031,-0.0021,-0.4,0.0,-11.09,0.12,-2000.0,16.4
4.702,-0.0269,-0.1958,-0.0021,-0.4,0.0,-11.92,0.12,-2000.0,14.5
4.768,-0.0613,-0.2042,-0.0022,-0.41,0.0,-11.85,0.12,-1770.2,19.8
4.837,-0.029,-0.2101,-0.0021,-0.42,0.0,-11.93,0.12,-1827.1,15.2
4.903,-0.0315,-0.2253,-0.0021,-0.43,0.0,-11.48,0.12,-1650.0,16.7
4.969,-0.0237,-0.2252,-0.0021,-0.43,0.0,-11.91,0.12,-1941.5,16.0
5.035,-0.0162,-0.2419,-0.0021,-0.44,0.0,-11.36,0.12,-1630.9,16.6
5.101,-0.019,-0.2449,-0.0021,-0.45,0.0,-11.6,0.12,-1894.4,15.0
5.167,-0.0374,-0.2536,-0.0021,-0.45,0.0,-11.52,0.12,-1799.6,15.7
5.234,-0.0228,-0.2557,-0.0021,-0.46,0.0,-11.81,0.12,-1927.7,14.9
5.3,-0.0438,-0.2734,-0.002,-0.47,0.0,-11.21,0.11,-1639.3,14.4
5.366,-0.0337,-0.2824,-0.002,-0.48,0.0,-11.1,0.12,-1801.4,15.8
5.432,-0.0546,-0.3006,-0.002,-0.48,0.0,-10.46,0.12,-1616.6,16.9
5.498,-0.0666,-0.3318,-0.002,-0.49,0.0,-9.07,0.12,-1286.9,15.5
5.565,-0.071,-0.335,-0.0021,-0.5,0.0,-9.28,0.12,-1621.8,17.0
5.631,-0.0704,-0.3674,-0.002,-0.5,0.0,-7.81,0.12,-1292.1,15.2
5.697,-0.0586,-0.3859,-0.002,-0.51,0.0,-7.13,0.12,-1508.9,14.6
5.764,-0.05,-0.408,-0.002,-0.52,0.0,-6.24,0.12,-1406.1,16.4
5.831,-0.0576,-0.4386,-0.002,-0.52,0.0,-4.85,0.12,-1133.2,14.8
5.897,-0.0544,-0.4578,-0.002,-0.53,0.0,-4.11,0.11,-1383.7,14.0
5.963,-0.053,-0.4784,-0.002,-0.54,0.0,-3.28,0.11,-1316.2,14.6
6.03,-0.0632,-0.4953,-0.002,-0.54,0.0,-2.65,0.12,-1376.8,15.7
6.097,-0.0631,-0.5102,-0.002,-0.55,0.0,-2.13,0.11,-1401.4,13.7
6.164,-0.0688,-0.521,-0.002,-0.55,0.0,-1.83,0.11,-1472.8,12.2
6.23,-0.0692,-0.5385,-0.002,-0.56,0.0,-1.13,0.11,-1287.5,14.5
6.297,-0.0763,-0.5468,-0.002,-0.56,0.0,-0.95,0.11,-1487.7,12.5
6.363,-0.0616,-0.5457,-0.002,-0.57,0.0,-1.29,0.11,-1680.8,13.1
6.43,-0.0667,-0.5551,-0.002,-0.57,0.0,-1.02,0.11,-1458.2,14.2
6.497,-0.0703,-0.5537,-0.002,-0.58,0.0,-1.35,0.11,-1681.8,10.7
6.564,-0.0676,-0.5527,-0.002,-0.58,0.0,-1.65,0.11,-1680.2,13.9
6.63,-0.0748,-0.5568,-0.002,-0.59,0.0,-1.64,0.11,-1577.4,14.0
6.698,-0.0851,-0.5545,-0.002,-0.59,0.0,-1.99,0.11,-1708.0,12.1
6.765,-0.0696,-0.5484,-0.0019,-0.59,0.0,-2.53,0.11,-1789.2,9.1
6.832,-0.0645,-0.5396,-0.002,-0.6,0.0,-3.22,0.11,-1856.2,13.2
6.899,-0.0585,-0.531,-0.002,-0.6,0.0,-3.87,0.11,-1865.8,13.2
6.966,-0.0376,-0.5214,-0.002,-0.6,0.0,-4.57,0.12,-1903.6,13.0
7.032,-0.0632,-0.5217,-0.002,-0.6,0.0,-4.68,0.12,-1732.9,13.5
7.101,-0.0485,-0.5176,-0.002,-0.61,0.0,-5.03,0.11,-1817.7,10.9
7.167,-0.0393,-0.4921,-0.002,-0.61,0.0,-6.59,0.11,-2000.0,11.6
7.234,-0.0553,-0.4933,-0.002,-0.61,0.0,-6.6,0.11,-1817.2,12.9
7.3,-0.0332,-0.4685,-0.002,-0.61,0.0,-8.08,0.11,-2000.0,11.9
