time,roll,pitch,yaw,rp_rpm,ry_rpm,err_p,err_y,mp_rpm,my_rpm
0.041,-0.0581,0.0574,0.0005,-0.44,0.79,-28.29,44.97,-298.0,298.0
0.107,-0.055,0.0605,0.0005,-0.44,0.79,-28.46,44.97,-630.8,630.8
0.173,-0.0625,0.0594,0.0004,-0.44,0.79,-28.4,44.98,-960.9,960.9
0.239,-0.0658,0.0698,0.0004,-0.44,0.79,-29.0,44.97,-1291.1,1291.1
0.305,-0.058,0.0494,0.0005,-0.44,0.79,-27.83,44.97,-961.9,1620.3
0.371,-0.0681,0.0598,0.0004,-0.44,0.79,-28.43,44.97,-1293.6,1742.8
0.438,-0.0624,0.082,0.0004,-0.44,0.79,-29.7,44.98,-1624.8,1745.9
0.503,-0.0746,0.0702,0.0004,-0.44,0.79,-29.02,44.98,-1295.7,1750.0
0.57,-0.07,0.0826,0.0004,-0.44,0.79,-29.73,44.98,-1629.5,1753.0
0.637,-0.0614,0.0766,0.0004,-0.44,0.79,-29.39,44.98,-1341.3,1757.3
0.703,-0.0533,0.0774,0.0004,-0.44,0.79,-29.43,44.97,-1483.8,1760.7
0.769,-0.0533,0.0715,0.0004,-0.44,0.79,-29.1,44.98,-1377.8,1764.9
0.837,-0.0591,0.068,0.0005,-0.44,0.79,-28.89,44.97,-1433.8,1768.4
0.905,-0.0542,0.064,0.0004,-0.44,0.79,-28.67,44.98,-1440.9,1772.7
0.976,-0.0469,0.0759,0.0004,-0.44,0.79,-29.35,44.98,-1714.1,1776.2
1.047,-0.0495,0.0724,0.0004,-0.44,0.79,-29.15,44.98,-1500.0,1780.2
1.117,-0.0459,0.0717,0.0004,-0.44,0.79,-29.11,44.98,-1560.0,1784.2
1.186,-0.0401,0.0753,0.0004,-0.44,0.79,-29.32,44.98,-1647.1,1787.6
1.257,-0.0332,0.0655,0.0005,-0.44,0.79,-28.75,44.97,-1445.5,1791.9
1.328,-0.0333,0.0719,0.0004,-0.44,0.79,-29.12,44.97,-1713.2,1795.7
1.398,-0.0293,0.0694,0.0105,-0.44,0.79,-28.98,44.4,-1603.4,1743.7
1.466,-0.0353,0.06,0.0142,-0.44,0.79,-28.44,44.19,-1500.3,1774.0
1.535,-0.0384,0.0699,0.0157,-0.44,0.79,-29.0,44.1,-1813.4,1787.5
1.605,-0.0486,0.0638,0.0162,-0.44,0.79,-28.66,44.07,-1597.5,1795.4
1.676,-0.0492,0.0611,0.0163,-0.44,0.79,-28.5,44.06,-1659.8,1800.9
1.746,-0.0694,0.0541,0.0163,-0.44,0.79,-28.1,44.06,-1605.6,1805.6
1.816,-0.0715,0.0656,0.0163,-0.44,0.79,-28.76,44.07,-1887.7,1809.1
1.887,-0.0524,0.0632,0.0263,-0.44,0.79,-28.62,43.49,-1720.5,1758.4
1.957,-0.0434,0.0459,0.0301,-0.44,0.79,-27.63,43.28,-1492.7,1787.9
2.027,-0.0457,0.0354,0.0415,-0.44,0.79,-27.03,42.62,-1609.4,1746.1
2.099,-0.0605,0.0409,0.0458,-0.44,0.79,-27.34,42.38,-1851.0,1779.9
2.169,-0.055,0.0403,0.0573,-0.44,0.79,-27.31,41.72,-1790.5,1738.8
2.24,-0.062,0.0143,0.0717,-0.44,0.79,-25.82,40.89,-1433.7,1717.2
2.311,-0.0496,0.0054,0.087,-0.44,0.79,-25.31,40.02,-1676.3,1701.2
2.381,-0.0481,-0.017,0.1026,-0.44,0.79,-24.02,39.12,-1463.3,1687.6
2.451,-0.0493,-0.05,0.1284,-0.44,0.79,-22.13,37.64,-1256.9,1614.1
2.521,-0.0442,-0.0693,0.148,-0.44,0.79,-21.03,36.52,-1490.9,1628.6
2.591,-0.0517,-0.0845,0.1653,-0.44,0.79,-20.16,35.53,-1554.2,1625.7
2.661,-0.0692,-0.1274,0.1916,-0.44,0.79,-17.7,34.02,-1201.1,1553.6
2.732,-0.0758,-0.1649,0.2114,-0.44,0.79,-15.55,32.89,-1074.4,1568.0
2.801,-0.0749,-0.1877,0.2385,-0.44,0.79,-14.25,31.33,-1340.7,1496.8
2.871,-0.0797,-0.2179,0.2685,-0.44,0.79,-12.51,29.61,-1171.7,1447.7
2.945,-0.0798,-0.2235,0.2899,-0.44,0.79,-12.2,28.39,-1538.9,1478.4
3.014,-0.0705,-0.2418,0.3174,-0.44,0.79,-11.15,26.82,-1389.6,1404.8
3.081,-0.0774,-0.2676,0.3471,-0.44,0.79,-9.67,25.11,-1198.2,1343.4
3.147,-0.0726,-0.2846,0.3779,-0.44,0.79,-8.7,23.35,-1359.8,1294.7
3.213,-0.0706,-0.3147,0.3993,-0.44,0.79,-6.97,22.12,-1039.4,1326.4
3.279,-0.0679,-0.3115,0.427,-0.44,0.79,-7.15,20.54,-1369.7,1246.6
3.345,-0.0729,-0.3319,0.457,-0.44,0.79,-5.98,18.82,-1250.3,1185.5
3.411,-0.0658,-0.3508,0.4879,-0.44,0.79,-4.9,17.05,-1256.6,1128.2
3.477,-0.0616,-0.3602,0.5191,-0.44,0.79,-4.36,15.26,-1428.9,1073.0
3.544,-0.0611,-0.3799,0.5505,-0.44,0.79,-3.23,13.46,-1207.4,1015.2
3.61,-0.0586,-0.388,0.5719,-0.44,0.79,-2.77,12.23,-1423.0,1055.3
3.676,-0.067,-0.407,0.5995,-0.44,0.79,-1.68,10.65,-1182.5,951.9
3.743,-0.0614,-0.4221,0.6295,-0.44,0.79,-0.82,8.93,-1246.8,871.3
3.809,-0.0661,-0.4409,0.6602,-0.44,0.79,0.26,7.17,-1129.9,789.7
3.875,-0.0473,-0.4496,0.6814,-0.44,0.79,0.76,5.96,-1327.0,834.2
3.941,-0.0635,-0.4524,0.7088,-0.44,0.79,0.92,4.39,-1430.5,700.0
4.008,-0.0728,-0.4463,0.7288,-0.44,0.79,0.57,3.25,-1589.9,729.6
4.076,-0.0655,-0.4421,0.7559,-0.44,0.79,0.33,1.69,-1561.7,503.3
4.142,-0.0657,-0.4447,0.7755,-0.44,0.79,0.48,0.57,-1445.8,557.5
4.209,-0.0601,-0.4394,0.7924,-0.44,0.79,0.17,-0.4,-1586.0,519.7
4.275,-0.0588,-0.4297,0.8181,-0.44,0.79,-0.38,-1.88,-1665.6,189.0
4.342,-0.0609,-0.4127,0.8374,-0.44,0.79,-1.35,-2.98,-1794.5,163.4
4.409,-0.0583,-0.4129,0.8542,-0.44,0.79,-1.34,-3.94,-1533.3,119.5
4.475,-0.0473,-0.4048,0.87,-0.44,0.79,-1.81,-4.85,-1676.0,38.0
4.541,-0.0572,-0.412,0.8854,-0.44,0.79,-1.4,-5.73,-1415.3,-51.6
4.607,-0.066,-0.3966,0.9008,-0.44,0.79,-2.28,-6.61,-1746.0,-154.3
4.673,-0.0677,-0.3893,0.9161,-0.44,0.79,-2.7,-7.49,-1686.9,-257.4
4.739,-0.0631,-0.377,0.9215,-0.44,0.79,-3.4,-7.8,-1775.1,-39.8
