time,roll,pitch,yaw,rp_rpm,ry_rpm,err_p,err_y,mp_rpm,my_rpm
0.041,-0.0542,0.0626,0.0007,-0.43,0.0,-28.33,0.17,-298.4,164.1
0.107,-0.0532,0.0597,0.0006,-0.42,0.01,-27.75,0.5,-630.6,220.8
0.174,-0.0548,0.0574,0.0006,-0.42,0.02,-27.2,0.83,-963.4,258.8
0.241,-0.0601,0.0609,0.0006,-0.41,0.02,-26.98,1.17,-1300.0,299.8
0.307,-0.0545,0.0631,0.0006,-0.4,0.03,-26.7,1.5,-1400.4,337.9
0.373,-0.0644,0.0655,0.0006,-0.4,0.03,-26.43,1.83,-1419.2,378.1
0.44,-0.0629,0.0748,0.0006,-0.39,0.04,-26.56,2.17,-1562.3,417.9
0.511,-0.0611,0.0753,0.0006,-0.38,0.04,-26.16,2.52,-1428.5,460.8
0.58,-0.0572,0.0782,0.0006,-0.37,0.05,-25.92,2.87,-1486.1,504.0
0.649,-0.0602,0.0794,0.0006,-0.37,0.06,-25.58,3.21,-1475.6,545.7
0.719,-0.051,0.0794,0.0006,-0.36,0.06,-25.18,3.56,-1468.8,587.4
0.79,-0.0611,0.086,0.0006,-0.35,0.07,-25.17,3.91,-1595.6,633.1
0.862,-0.0509,0.0862,0.0006,-0.35,0.08,-24.78,4.27,-1512.7,654.4
0.933,-0.046,0.079,0.0006,-0.34,0.08,-23.99,4.63,-1398.7,676.0
1.004,-0.0425,0.0692,0.0006,-0.33,0.09,-23.07,4.98,-1353.7,696.5
1.074,-0.0599,0.0769,0.0006,-0.33,0.09,-23.16,5.34,-1656.5,717.8
1.145,-0.0584,0.0758,0.0006,-0.32,0.1,-22.76,5.69,-1537.8,736.4
1.215,-0.0487,0.0781,0.0006,-0.32,0.11,-22.56,6.04,-1607.3,756.1
1.285,-0.037,0.0741,0.0006,-0.31,0.11,-22.02,6.39,-1519.2,773.9
1.355,-0.0406,0.0699,0.0006,-0.31,0.12,-21.48,6.74,-1526.3,792.8
1.425,-0.0366,0.0834,0.0006,-0.3,0.12,-21.97,7.09,-1810.3,811.6
1.495,-0.0322,0.0758,0.0006,-0.3,0.13,-21.27,7.44,-1511.8,828.3
1.566,-0.042,0.0602,0.0006,-0.29,0.14,-20.13,7.79,-1376.2,845.7
1.636,-0.0506,0.056,0.0006,-0.29,0.14,-19.65,8.14,-1569.9,863.5
1.706,-0.0346,0.0328,0.0006,-0.28,0.15,-18.1,8.49,-1222.8,879.7
