time,roll,pitch,yaw,rp_rpm,ry_rpm,err_p,err_y,mp_rpm,my_rpm
0.04,-0.055,0.0395,-0.0019,-0.43,0.0,-27.01,0.31,-295.8,260.7
0.107,-0.0507,0.041,-0.002,-0.42,0.01,-26.68,0.65,-628.5,237.6
0.174,-0.0508,0.0416,-0.002,-0.42,0.02,-26.29,0.99,-966.3,278.2
0.243,-0.053,0.0586,-0.002,-0.41,0.02,-26.84,1.33,-1308.2,317.7
0.31,-0.0526,0.0591,-0.0019,-0.4,0.03,-26.45,1.66,-1643.3,355.7
0.377,-0.0566,0.0523,-0.002,-0.4,0.03,-25.65,2.0,-1491.8,398.5
0.444,-0.0587,0.0396,-0.002,-0.39,0.04,-24.52,2.33,-1346.6,437.2
0.51,-0.0503,0.0363,-0.002,-0.38,0.04,-23.93,2.66,-1550.8,479.5
0.576,-0.0466,0.0432,-0.002,-0.37,0.05,-23.93,2.99,-1764.6,519.5
0.643,-0.0465,0.0516,-0.002,-0.37,0.06,-24.03,3.33,-1810.9,562.3
0.709,-0.0435,0.0673,-0.002,-0.36,0.06,-24.55,3.66,-1966.5,601.9
0.776,-0.0475,0.0842,-0.002,-0.35,0.07,-25.14,3.99,-2000.0,639.1
0.842,-0.0506,0.1184,-0.002,-0.35,0.07,-26.74,4.33,-2000.0,659.6
0.908,-0.0601,0.1055,-0.002,-0.34,0.08,-25.64,4.65,-1991.5,675.0
0.975,-0.0646,0.0769,-0.002,-0.34,0.09,-23.66,4.99,-1658.6,695.1
1.042,-0.0553,0.0668,-0.002,-0.33,0.09,-22.74,5.32,-1547.1,716.2
1.108,-0.0545,0.0646,-0.002,-0.32,0.1,-22.29,5.66,-1704.9,734.7
1.174,-0.0527,0.0711,-0.0021,-0.32,0.1,-22.35,5.99,-1881.1,753.8
1.241,-0.0496,0.0798,-0.0021,-0.31,0.11,-22.54,6.32,-1936.9,771.3
1.308,-0.0537,0.0689,-0.002,-0.31,0.11,-21.62,6.66,-1603.6,787.7
1.375,-0.0562,0.08,-0.002,-0.3,0.12,-21.98,6.99,-1937.5,805.6
1.441,-0.0492,0.0799,-0.002,-0.3,0.13,-21.71,7.32,-1820.8,822.1
1.508,-0.0442,0.066,-0.002,-0.29,0.13,-20.66,7.65,-1551.9,838.6
1.575,-0.044,0.0383,-0.002,-0.29,0.14,-18.84,7.99,-1216.3,855.8
1.642,-0.0272,0.0354,-0.002,-0.29,0.14,-18.44,8.32,-1548.8,872.3
1.709,-0.0274,0.0318,-0.002,-0.28,0.15,-18.03,8.66,-1721.5,887.7
1.775,-0.0315,0.0095,-0.002,-0.28,0.15,-16.56,8.99,-1388.8,904.0
1.842,-0.0318,0.0037,-0.002,-0.28,0.16,-16.05,9.32,-1649.2,919.3
1.909,-0.0375,0.0072,-0.002,-0.27,0.17,-16.09,9.66,-1835.7,935.6
1.977,-0.036,0.0013,-0.002,-0.27,0.17,-15.61,10.0,-1668.6,950.2
2.043,-0.0443,-0.0014,-0.002,-0.27,0.18,-15.33,10.33,-1734.2,964.8
2.109,-0.0464,-0.0133,-0.0019,-0.27,0.18,-14.54,10.66,-1546.5,979.1
2.177,-0.0501,-0.0312,-0.0019,-0.27,0.19,-13.42,10.99,-1397.4,993.6
2.243,-0.0523,-0.0509,-0.0019,-0.26,0.2,-12.21,11.33,-1319.7,1008.5
