time,roll,pitch,yaw,rp_rpm,ry_rpm,err_p,err_y,mp_rpm,my_rpm
0.04,-0.0529,0.0614,0.0002,-0.43,0.01,-28.26,0.4,-295.8,295.8
0.107,-0.0575,0.062,0.0002,-0.42,0.02,-27.89,1.09,-628.0,498.8
0.172,-0.0572,0.0578,0.0002,-0.42,0.03,-27.23,1.81,-957.8,594.7
0.239,-0.0545,0.0633,0.0002,-0.41,0.04,-27.13,2.56,-1289.5,664.8
0.305,-0.0541,0.0614,0.0002,-0.4,0.06,-26.61,3.33,-1318.4,712.2
0.371,-0.0602,0.0714,0.0002,-0.4,0.07,-26.78,4.13,-1556.6,759.3
0.437,-0.0553,0.0779,0.0002,-0.39,0.09,-26.75,4.96,-1519.1,803.9
0.503,-0.0546,0.0725,0.0002,-0.38,0.1,-26.04,5.81,-1310.5,848.1
0.569,-0.0605,0.0679,0.0002,-0.38,0.12,-25.39,6.69,-1334.4,890.0
0.635,-0.0605,0.0638,0.0002,-0.37,0.13,-24.77,7.59,-1352.5,932.8
0.704,-0.0567,0.0667,0.0002,-0.36,0.15,-24.54,8.56,-1493.1,976.7
0.77,-0.0541,0.0576,0.0002,-0.36,0.17,-23.65,9.51,-1274.7,1015.6
0.836,-0.0599,0.0663,0.0002,-0.35,0.18,-23.79,10.49,-1605.2,1057.7
0.902,-0.0597,0.0531,0.0002,-0.34,0.2,-22.68,11.49,-1275.5,1095.3
0.968,-0.0647,0.0623,0.0001,-0.34,0.22,-22.86,12.52,-1605.7,1136.1
1.034,-0.0657,0.0604,0.0002,-0.33,0.24,-22.41,13.57,-1465.1,1172.5
1.1,-0.066,0.0556,0.0002,-0.33,0.26,-21.81,14.64,-1418.3,1210.1
1.166,-0.0681,0.0673,0.0002,-0.32,0.27,-22.17,15.73,-1711.7,1248.3
1.232,-0.0735,0.0638,0.0002,-0.31,0.29,-21.66,16.85,-1477.6,1283.2
1.299,-0.0572,0.0656,0.0002,-0.31,0.31,-21.48,17.99,-1580.0,1319.6
1.365,-0.0561,0.0575,0.0002,-0.3,0.33,-20.73,19.14,-1411.8,1354.6
1.431,-0.0583,0.0799,0.0002,-0.3,0.35,-21.75,20.31,-1743.0,1391.4
1.497,-0.0475,0.0745,0.0002,-0.3,0.38,-21.19,21.5,-1506.8,1422.4
1.563,-0.0628,0.0635,0.0002,-0.29,0.4,-20.32,22.7,-1407.5,1456.3
1.629,-0.053,0.0787,0.0002,-0.29,0.42,-20.97,23.92,-1737.0,1490.7
1.696,-0.0519,0.0743,0.0002,-0.28,0.44,-20.51,25.16,-1560.1,1521.4
1.762,-0.0455,0.0559,0.0102,-0.28,0.46,-19.26,25.83,-1298.2,1481.3
